"Book","Top_Terms"
"The Hunger Games","games, districts, katniss, capitol, hunger, twelve, means, survival, contender, deaththe"
"Harry Potter and the Order of the Phoenix","hogwarts, threat, corridor, exams, gryffindor, hewhomustnotbenamed, pottter’s, sacrificehis, stopas, terrorharry"
"To Kill a Mockingbird","mockingbird, classiccompassionate, regional, kill, alabama, harper, pathos, rocked, conscience, crisis"
"Pride and Prejudice","elizabeth, jane, beau, bennet, darcy, opinionated, quadrille, regency, sparkles, sparring"
"Twilight","bite, thirsted, positive, unconditionally, dominant, irrevocably, absolutely, extraordinarily, twilight, edward"
"The Book Thief","liesels, busier, foster, nazi, accordianplaying, bookburnings, downin, foundbut, gravediggers, graveside"
"Animal Farm","farm, banner, fables, idealism, mistreated, razoredged, slogans, stalinist, ferociously, flaming"
"The Chronicles of Narnia","chronicles, lewis, narnia, fifty, reader, seven, baynes, chronlogical, clive, deceptively"
"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","tolkiens, baggins, fellowship, gandalf, hobbit, jrr, rings, ring, wizard, dragonthe"
"Gone with the Wind","claw, disposal, ohara, scarlett, shermans, welltodo, plantation, march, owner, spoiled"
"The Fault in Our Stars","greens, hazels, inscribed, rewritteninsightful, tumorshrinking, augustus, cancer, diagnosis, hazel, medical"
"The Hitchhiker's Guide to the Galaxy","hitchhikers, galaxy, arthur, guide, actortogether, ballpoint, beeblebrox—, chronically, depressed, exhippie"
"The Giving Tree","tree, shel, gave, aglow, apples, boyso, gavethis, silversteinevery, treeand, trunkand"
"Wuthering Heights","wuthering, heights, fourth, chronology, critical, selections, reviews, included, role, poetry"
"The Da Vinci Code","langdon, curator, neveu, awakened, cryptologist, editionwhile, faceless, labyrinthine, leonardo, louvre"
"Memoirs of a Geisha","auctioned, beguile, bidder, confessions, geisha, geishain, scorned, authenticity, illusion, japans"
"The Picture of Dorian Gray","dorian, gray’s, wilde, wilde’s, moral, aestheticmoral, corrupting, disintegration, distinctively, gray”"
"Alice's Adventures in Wonderland & Through the Looking-Glass","alice, fullcolour, lookingglass, martina, mini, pelousos, seewhen, topsyturvy, waistcoat, alices"
"Jane Eyre","jane, rochester, thornfield, hall, adèle, forbidding, gloomy, heartbroken, outcast, proud"
"Les Misérables","misérables, victor, hugo, amorality, bread—les, dazzles, extravagant, fantine, introducing, javert"
"Fahrenheit 451","clarisse, mildred, montag, television, bland, commodities, fireman, firemen, hiddenmontag, televisionwhen"
"Divergent","beatrice, tris, initiation, shes, sometimes, choice, abnegation, amity, appointed, devote"
"Lord of the Flies","terror, echo, labeled, stranding, supervision, treatise, hope, far, collapses, crashes"
"Romeo and Juliet","capulets, deathfilled, disapprove, feudin, lovers’, montagues, respond, romeo, juliet, young"
"The Alchemist","santiago, treasure, andalusian, egyptian, goods, heartsillustration, pyramids, surmount, tierney, coelhos"
"Crime and Punishment","raskolnikov, commits, destitute, downtrodden, noose, remorse, sonya, neck, petersburg, tightening"
"The Perks of Being a Wallflower","unique, trying, chbosky, coaster, dates, floorthis, fringes, infinitethrough, lifeoffers, passivity"
"The Great Gatsby","gatsby, national, buchanan, daisy, fitzgeralds, literatureback, sthe, exemplary, exquisitely, fabulously"
